,name,rating,review,pros,cons
115,Citicorp,3.7,(4.8k),Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
116,UST,3.8,(4.8k),Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
117,Mahindra Finance,4.0,(4.8k),"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
118,SMFG India Credit,4.0,(4.7k),"Salary & Benefits, Job Security",
119,Hero MotoCorp,4.1,(4.7k),"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
120,Manappuram Finance,3.9,(4.6k),"Promotions / Appraisal, Skill Development / Learning",
121,JustDial,3.5,(4.6k),"Promotions / Appraisal, Work Satisfaction, Job Security",
122,Eviden,3.6,(4.6k),Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
123,Swiggy,3.8,(4.5k),"Job Security, Promotions / Appraisal, Work Satisfaction",
124,Vivo,4.1,(4.6k),"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
125,BNY,3.8,(4.5k),"Work Life Balance, Company Culture","Promotions / Appraisal, Job Security"
126,IQVIA,3.8,(4.5k),"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
127,Kalpataru Projects International,4.1,(4.5k),"Job Security, Company Culture, Work Life Balance",
128,SBI Cards & Payment Services,3.7,(4.5k),"Promotions / Appraisal, Work Satisfaction, Company Culture",
129,TVS Motor,3.9,(4.4k),"Skill Development / Learning, Job Security, Salary & Benefits",Promotions / Appraisal
130,Atos,3.8,(4.4k),Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
131,Home Credit Finance,4.1,(4.4k),"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
132,CBRE,4.1,(4.4k),"Skill Development / Learning, Company Culture, Work Life Balance",
133,Persistent Systems,3.6,(4.3k),"Promotions / Appraisal, Job Security, Work Satisfaction",
134,PolicyBazaar,3.7,(4.4k),Salary & Benefits,"Work Life Balance, Company Culture, Work Satisfaction"
135,Nagarro,4.0,(4.3k),"Work Life Balance, Company Culture, Skill Development / Learning",
136,OPPO,4.0,(4.2k),Skill Development / Learning,"Promotions / Appraisal, Job Security"
137,Amdocs,3.7,(4.3k),Company Culture,"Promotions / Appraisal, Work Satisfaction, Job Security"
138,JBM Group,4.0,(4.2k),"Job Security, Skill Development / Learning",Promotions / Appraisal
139,State Bank of India,3.8,(4.2k),"Job Security, Salary & Benefits",Work Life Balance
140,SBI Life Insurance Company,3.8,(4.2k),Job Security,"Promotions / Appraisal, Work Satisfaction"
141,NTT Data,3.8,(4.2k),"Work Life Balance, Job Security",Promotions / Appraisal
142,Schneider Electric,4.1,(4.2k),"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
143,Nagarjuna Construction Company,4.1,(4.2k),"Job Security, Skill Development / Learning, Salary & Benefits",
144,Bosch,4.2,(4.1k),"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
145,Dell,3.9,(4.1k),"Work Life Balance, Company Culture",Promotions / Appraisal
146,Hewlett Packard Enterprise,4.1,(4.1k),"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
147,Mahindra Logistics,3.9,(4k),Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
148,Ecom Express,3.8,(4.1k),"Promotions / Appraisal, Job Security",
149,KEC International,4.0,(4k),"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal
150,Piramal Capital Housing Finance,4.2,(4k),"Company Culture, Work Life Balance, Skill Development / Learning",
151,Varun Beverages,4.0,(3.9k),"Job Security, Salary & Benefits",Promotions / Appraisal
152,Aditya Birla Fashion and Retail,4.1,(3.9k),"Job Security, Skill Development / Learning, Company Culture",
153,Randstad,3.7,(3.9k),"Promotions / Appraisal, Job Security, Work Satisfaction",
154,Deutsche Bank,3.8,(3.8k),"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Skill Development / Learning"
155,Hyundai Motor India Limited,4.2,(3.8k),"Job Security, Skill Development / Learning, Salary & Benefits",
156,CARS24,3.5,(3.9k),"Job Security, Promotions / Appraisal, Company Culture",
157,Havells,3.9,(3.8k),"Work Life Balance, Salary & Benefits",Promotions / Appraisal
158,ITC Infotech,3.6,(3.8k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
159,EY Global Delivery Services ( EY GDS),3.5,(3.8k),Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
160,R1 RCM,3.8,(3.8k),"Company Culture, Job Security",Promotions / Appraisal
161,Intas Pharmaceuticals,4.1,(3.7k),"Job Security, Salary & Benefits, Work Life Balance",
162,L&T Finance,3.9,(3.8k),Salary & Benefits,Promotions / Appraisal
163,Bajaj Auto,3.8,(3.7k),Promotions / Appraisal,
164,Team Lease,3.9,(3.7k),Promotions / Appraisal,
165,Oyo Rooms,3.2,(3.6k),"Job Security, Work Satisfaction, Promotions / Appraisal",
166,Reliance Communications,4.0,(3.6k),"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
167,Tata AIA Life Insurance,4.0,(3.6k),"Job Security, Skill Development / Learning, Salary & Benefits",
168,Access Healthcare,3.9,(3.6k),"Job Security, Company Culture",Promotions / Appraisal
169,John Deere,4.1,(3.6k),"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
170,Tata Communications,4.0,(3.6k),"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
171,Macleods Pharmaceuticals,3.6,(3.6k),Job Security,"Promotions / Appraisal, Company Culture, Work Satisfaction"
172,Hetero,3.8,(3.6k),Job Security,"Promotions / Appraisal, Salary & Benefits"
173,Thermax Limited,4.2,(3.5k),"Job Security, Company Culture, Skill Development / Learning",
174,LG Electronics,3.9,(3.5k),"Job Security, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
175,Royal Enfield,4.2,(3.6k),"Company Culture, Work Life Balance, Work Satisfaction",
176,HDFC Ergo General Insurance,3.9,(3.5k),"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
177,Aakash Educational Services,3.4,(3.5k),"Work Life Balance, Promotions / Appraisal, Work Satisfaction",
178,VE Commercial Vehicles,4.0,(3.5k),"Job Security, Skill Development / Learning",Promotions / Appraisal
179,Utkarsh Small Finance Bank,3.8,(3.5k),Promotions / Appraisal,
180,Carelon Global Solutions,3.9,(3.4k),"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal
181,Cummins,4.3,(3.4k),"Company Culture, Work Life Balance, Skill Development / Learning",
182,DCB Bank,3.8,(3.4k),Work Life Balance,Promotions / Appraisal
183,Viatris,4.1,(3.4k),"Salary & Benefits, Job Security, Work Life Balance",
184,Berger Paints,3.7,(3.4k),"Promotions / Appraisal, Company Culture, Work Life Balance",
185,Bank of America,4.2,(3.4k),"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
186,Publicis Sapient,3.5,(3.4k),"Promotions / Appraisal, Job Security, Work Satisfaction",
187,Jubilant Foods Works,3.7,(3.4k),"Promotions / Appraisal, Work Life Balance, Work Satisfaction",
188,American Express,4.1,(3.4k),"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
189,PVR Inox,3.9,(3.4k),Skill Development / Learning,Promotions / Appraisal
190,Hindalco Industries,4.2,(3.3k),"Job Security, Work Life Balance, Skill Development / Learning",
191,Jindal Steel and Power,3.9,(3.3k),Skill Development / Learning,Promotions / Appraisal
192,Subros,3.8,(3.4k),"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal"
193,Lenskart,3.2,(3.4k),"Promotions / Appraisal, Company Culture, Work Life Balance",
194,Automatic Data Processing (ADP),4.0,(3.3k),"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
195,RBL Bank,3.6,(3.3k),"Promotions / Appraisal, Company Culture, Work Satisfaction",
196,Alembic Pharmaceuticals,4.0,(3.3k),"Salary & Benefits, Work Life Balance",
197,Pidilite Industries,4.3,(3.3k),"Job Security, Company Culture, Work Life Balance",
198,Samvardhana Motherson Group,3.7,(3.3k),Job Security,"Company Culture, Work Life Balance, Work Satisfaction"
199,Godrej & Boyce Manufacturing,3.9,(3.3k),Job Security,Promotions / Appraisal
